"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"henvisningsmeddelelse","henvisningsmeddelelse","","","",0,*,"","","","null {[]} {[]}
","Henvisningsmeddelelse – Logisk Model","Konceptuel logisk model for en henvisningsmeddelelse i dansk sundhedsvæsen.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"henvisningsmeddelelse.Meddelelse","henvisningsmeddelelse.Meddelelse","","","",1,1,"","","","http://medcomehmi.dk/ig/dk-medcom-ref-lm/StructureDefinition/meddelelse {[]} {[]}
","Meddelelseskonvolut","Meddelelseskonvolut","","","","","","","","","",,,,,"",,,,"henvisningsmeddelelse.Meddelelse",1,1,"",""
"henvisningsmeddelelse.Meddelelse.messageId","henvisningsmeddelelse.Meddelelse.messageId","","","",1,1,"","","","id {[]} {[]}
","Unik meddelelsesidentifikator (UUID)","Unik meddelelsesidentifikator (UUID)","","","","","","","","","",,,,,"",,,,"meddelelse.messageId",1,1,"",""
"henvisningsmeddelelse.Meddelelse.timestamp","henvisningsmeddelelse.Meddelelse.timestamp","","","",1,1,"","","","dateTime {[]} {[]}
","Afsendelsestidspunkt","Afsendelsestidspunkt","","","","","","","","","",,,,,"",,,,"meddelelse.timestamp",1,1,"",""
"henvisningsmeddelelse.Meddelelse.haendelse","henvisningsmeddelelse.Meddelelse.haendelse","","","",1,1,"","","","Coding {[]} {[]}
","Haendelsestype (ny/annuller/opdater)","Haendelsestype (ny/annuller/opdater)","","","","","","","","","",,,,,"",,,,"meddelelse.haendelse",1,1,"",""
"henvisningsmeddelelse.Meddelelse.afsender","henvisningsmeddelelse.Meddelelse.afsender","","","",1,1,"","","","http://medcomehmi.dk/ig/dk-medcom-ref-lm/StructureDefinition/kommunikator {[]} {[]}
","Afsendende organisation","Afsendende organisation","","","","","","","","","",,,,,"",,,,"meddelelse.afsender",1,1,"",""
"henvisningsmeddelelse.Meddelelse.modtager","henvisningsmeddelelse.Meddelelse.modtager","","","",1,*,"","","","http://medcomehmi.dk/ig/dk-medcom-ref-lm/StructureDefinition/kommunikator {[]} {[]}
","Modtagende organisation","Modtagende organisation","","","","","","","","","",,,,,"",,,,"meddelelse.modtager",1,*,"",""
"henvisningsmeddelelse.Meddelelse.Henvisning","henvisningsmeddelelse.Meddelelse.Henvisning","","","",1,1,"","","","http://medcomehmi.dk/ig/dk-medcom-ref-lm/StructureDefinition/henvisning {[]} {[]}
","Klinisk henvisning (ServiceRequest)","Klinisk henvisning (ServiceRequest)","","","","","","","","","",,,,,"",,,,"henvisningsmeddelelse.Meddelelse.Henvisning",1,1,"",""
"henvisningsmeddelelse.Meddelelse.Patient","henvisningsmeddelelse.Meddelelse.Patient","","","",1,1,"","","","http://medcomehmi.dk/ig/dk-medcom-ref-lm/StructureDefinition/patient {[]} {[]}
","Patientinformation","Patientinformation","","","","","","","","","",,,,,"",,,,"henvisningsmeddelelse.Meddelelse.Patient",1,1,"",""
"henvisningsmeddelelse.Meddelelse.Henviser","henvisningsmeddelelse.Meddelelse.Henviser","","","",1,1,"","","","http://medcomehmi.dk/ig/dk-medcom-ref-lm/StructureDefinition/henviser {[]} {[]}
","Henvisende behandler","Henvisende behandler","","","","","","","","","",,,,,"",,,,"henvisningsmeddelelse.Meddelelse.Henviser",1,1,"",""
